Entity,Score
D:\Master\MASTER_PROJECT\Data_QuixBugs\question_23\code\wrong\wrong_next_palindrome.py::15,1.1
D:\Master\MASTER_PROJECT\Data_QuixBugs\question_23\code\wrong\wrong_next_palindrome.py::9,0.8884615384615384
D:\Master\MASTER_PROJECT\Data_QuixBugs\question_23\code\wrong\wrong_next_palindrome.py::8,0.8884615384615384
D:\Master\MASTER_PROJECT\Data_QuixBugs\question_23\code\wrong\wrong_next_palindrome.py::7,0.8884615384615384
D:\Master\MASTER_PROJECT\Data_QuixBugs\question_23\code\wrong\wrong_next_palindrome.py::6,0.8884615384615384
D:\Master\MASTER_PROJECT\Data_QuixBugs\question_23\code\wrong\wrong_next_palindrome.py::5,0.5823529411764705
D:\Master\MASTER_PROJECT\Data_QuixBugs\question_23\code\wrong\wrong_next_palindrome.py::4,0.5823529411764705
D:\Master\MASTER_PROJECT\Data_QuixBugs\question_23\code\wrong\wrong_next_palindrome.py::3,0.5823529411764705
D:\Master\MASTER_PROJECT\Data_QuixBugs\question_23\code\wrong\wrong_next_palindrome.py::2,0.5823529411764705
D:\Master\MASTER_PROJECT\Data_QuixBugs\question_23\code\wrong\wrong_next_palindrome.py::14,0.1
D:\Master\MASTER_PROJECT\Data_QuixBugs\question_23\code\wrong\wrong_next_palindrome.py::13,0.1
D:\Master\MASTER_PROJECT\Data_QuixBugs\question_23\code\wrong\wrong_next_palindrome.py::12,0.1
D:\Master\MASTER_PROJECT\Data_QuixBugs\question_23\code\wrong\wrong_next_palindrome.py::11,0.1
