Entity,Score
D:\Master\MASTER_PROJECT\Data_QuixBugs\question_34\code\wrong\wrong_shunting_yard.py::16,0.9756097560975611
D:\Master\MASTER_PROJECT\Data_QuixBugs\question_34\code\wrong\wrong_shunting_yard.py::14,0.8748646233115717
D:\Master\MASTER_PROJECT\Data_QuixBugs\question_34\code\wrong\wrong_shunting_yard.py::13,0.8748646233115717
D:\Master\MASTER_PROJECT\Data_QuixBugs\question_34\code\wrong\wrong_shunting_yard.py::7,0.8001633156425773
D:\Master\MASTER_PROJECT\Data_QuixBugs\question_34\code\wrong\wrong_shunting_yard.py::6,0.8001633156425773
D:\Master\MASTER_PROJECT\Data_QuixBugs\question_34\code\wrong\wrong_shunting_yard.py::5,0.8001633156425773
D:\Master\MASTER_PROJECT\Data_QuixBugs\question_34\code\wrong\wrong_shunting_yard.py::4,0.8001633156425773
D:\Master\MASTER_PROJECT\Data_QuixBugs\question_34\code\wrong\wrong_shunting_yard.py::3,0.8001633156425773
D:\Master\MASTER_PROJECT\Data_QuixBugs\question_34\code\wrong\wrong_shunting_yard.py::22,0.8001633156425773
D:\Master\MASTER_PROJECT\Data_QuixBugs\question_34\code\wrong\wrong_shunting_yard.py::19,0.8001633156425773
D:\Master\MASTER_PROJECT\Data_QuixBugs\question_34\code\wrong\wrong_shunting_yard.py::12,0.8001633156425773
D:\Master\MASTER_PROJECT\Data_QuixBugs\question_34\code\wrong\wrong_shunting_yard.py::11,0.8001633156425773
D:\Master\MASTER_PROJECT\Data_QuixBugs\question_34\code\wrong\wrong_shunting_yard.py::10,0.8001633156425773
